[LOG] System::create                           : Header version = 2.01.08. Current version = 2.01.08.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=20108 (114339), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=44100, nAvgBytesPerSec=352800, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 3760 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] SystemI::init                            : Output requires a sample rate of 44100Hz, resampling will occur.
[LOG] Thread::initThread                       : Init FMOD stream thread. Affinity: 0x8000000000000003, Priority: 0xFFFF7FFB, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Affinity: 0x8000000000000001, Priority: 0xFFFF7FFA, Stack Size: 81920, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 000001C9E7AED2C8 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Affinity: 0x8000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Affinity: 0x8000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 135, compatVersion = 132 (oldest = 44, newest = 135)
[LOG] Manager::readBank                        : fileversion = 135, compatVersion = 132 (oldest = 44, newest = 135)
[LOG] SoundI::release                          : sci-fi-ambience-01-002 (000001C9F244F2C8)
[LOG] SoundI::release                          :  (000001C9A48A58D8)
[LOG] SoundI::release                          :     dirt_footstepWalk_09 (000001CA0790E3D8)
[LOG] SoundI::release                          :  (000001C9A48A89B8)
[LOG] SoundI::release                          :     dirt_footstepWalk_10 (000001CA0790C9D8)
[LOG] SoundI::release                          :  (000001C9A48A5E98)
[LOG] SoundI::release                          :     dirt_footstepWalk_11 (000001CA0790F418)
[LOG] SoundI::release                          :  (000001C9A48A6738)
[LOG] SoundI::release                          :     dirt_footstepWalk_12 (000001CA0790F8F8)
[LOG] SoundI::release                          :  (000001C9A48A5BB8)
[LOG] SoundI::release                          :     dirt_footstepWalk_13 (000001CA0790EA58)
[LOG] SoundI::release                          :  (000001C9A48A37C8)
[LOG] SoundI::release                          :     dirt_footstepWalk_14 (000001C9C3386528)
[LOG] SoundI::release                          :  (000001C9A48A68A8)
[LOG] SoundI::release                          :     dirt_footstepWalk_15 (000001CA0790C838)
[LOG] SoundI::release                          :  (000001C9A48ACA68)
[LOG] SoundI::release                          :     dirt_footstepWalk_16 (000001CA0790C018)
[LOG] SoundI::release                          :  (000001C9A48A2238)
[LOG] SoundI::release                          :     Land (000001CA0790ED98)
[LOG] SoundI::release                          :  (000001C9A48A6178)
[LOG] SoundI::release                          :     Jump (000001C9F873D268)
[LOG] SoundI::release                          :  (000001C9A48A3098)
[LOG] SoundI::release                          :     dirt_footstepRun_01 (000001CA0790F278)
[LOG] SoundI::release                          :  (000001C9A48A6A18)
[LOG] SoundI::release                          :     dirt_footstepRun_02 (000001CA0790DA18)
[LOG] SoundI::release                          :  (000001C9A48A2688)
[LOG] SoundI::release                          :     dirt_footstepRun_03 (000001CA0790FA98)
[LOG] SoundI::release                          :  (000001C9A48A4EC8)
[LOG] SoundI::release                          :     dirt_footstepRun_04 (000001C9BF7227D8)
[LOG] SoundI::release                          :  (000001C9A48AB088)
[LOG] SoundI::release                          :     dirt_footstepRun_05 (000001CA0790CEB8)
[LOG] SoundI::release                          :  (000001C9A48A3D88)
[LOG] SoundI::release                          :     dirt_footstepRun_06 (000001CA0790BE78)
[LOG] SoundI::release                          :  (000001C9A48A4D58)
[LOG] SoundI::release                          :     dirt_footstepRun_07 (000001CA0790D058)
[LOG] SoundI::release                          :  (000001C9A48A3AA8)
[LOG] SoundI::release                          :     dirt_footstepRun_08 (000001C9BF7222F8)
[LOG] SoundI::release                          :  (000001C9A48A44B8)
[LOG] SoundI::release                          :     dirt_footstepRun_09 (000001C9BF721FB8)
[LOG] SoundI::release                          :  (000001C9A48A7708)
[LOG] SoundI::release                          :     dirt_footstepRun_10 (000001CA0790D1F8)
[LOG] SoundI::release                          :  (000001C9A48A27F8)
[LOG] SoundI::release                          :     dirt_footstepRun_11 (000001CA0790DBB8)
[LOG] SoundI::release                          :  (000001C9A48A3378)
[LOG] SoundI::release                          :     dirt_footstepRun_12 (000001CA0790F5B8)
[LOG] SoundI::release                          :  (000001C9A48A4BE8)
[LOG] SoundI::release                          :     dirt_footstepRun_13 (000001CA0790DD58)
[LOG] SoundI::release                          :  (000001C9A48ABA98)
[LOG] SoundI::release                          :     dirt_footstepRun_14 (000001CA0790F0D8)
[LOG] SoundI::release                          :  (000001C9A48A7B58)
[LOG] SoundI::release                          :     dirt_footstepRun_15 (000001CA0790D538)
[LOG] SoundI::release                          :  (000001C9A48A20C8)
[LOG] SoundI::release                          :     dirt_footstepRun_16 (000001CA0790F758)
[LOG] SoundI::release                          :  (000001C9A48A79E8)
[LOG] SoundI::release                          :     dirt_footstepRun_17 (000001CA0790D6D8)
[LOG] SoundI::release                          :  (000001C9A48A5768)
[LOG] SoundI::release                          :     dirt_footstepRun_18 (000001C9C3386BA8)
[LOG] SoundI::release                          :  (000001C9A48A2AD8)
[LOG] SoundI::release                          :     dirt_footstepRun_19 (000001CA0790D878)
[LOG] SoundI::release                          :  (000001C9A48A7598)
[LOG] SoundI::release                          :     dirt_footstepRun_20 (000001CA0790C698)
[LOG] SoundI::release                          :  (000001C9A48A72B8)
[LOG] SoundI::release                          :     dirt_footstepRun_21 (000001CA0790D398)
[LOG] SoundI::release                          :  (000001C9A48A6CF8)
[LOG] SoundI::release                          :     dirt_footstepRun_22 (000001CA0790C1B8)
[LOG] SoundI::release                          :  (000001C9A48A5488)
[LOG] SoundI::release                          :     dirt_footstepRun_23 (000001CA0790EBF8)
[LOG] SoundI::release                          :  (000001C9A48A65C8)
[LOG] SoundI::release                          :     dirt_footstepRun_24 (000001C9F87404C8)
[LOG] SoundI::release                          :  (000001C9A48A7878)
[LOG] SoundI::release                          :     dirt_footstepRun_25 (000001CA0790E098)
[LOG] SoundI::release                          :  (000001C9A48A5318)
[LOG] SoundI::release                          :     dirt_footstepRun_26 (000001CA0790CD18)
[LOG] SoundI::release                          :  (000001C9A48A8848)
[LOG] SoundI::release                          :     dirt_footstepRun_27 (000001CA179251B8)
[LOG] SoundI::release                          :  (000001C9A48A4A78)
[LOG] SoundI::release                          :     dirt_footstepRun_28 (000001CA0790E578)
[LOG] SoundI::release                          :  (000001C9A48A62E8)
[LOG] SoundI::release                          :     dirt_footstepRun_29 (000001CA0790E718)
[LOG] SoundI::release                          :  (000001C9A48A93C8)
[LOG] SoundI::release                          :     dirt_footstepRun_30 (000001CA0790E8B8)
[LOG] SoundI::release                          :  (000001C9A48A5038)
[LOG] SoundI::release                          :     dirt_footstepRun_31 (000001CA0790EF38)
[LOG] Thread::callback                         : FMOD Studio update thread finished.
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] Profile::disconnectAll                   : Profiler disconnecting all clients
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] Profile::disconnectAll                   : Profiler disconnecting all clients
[LOG] SystemI::close                           : Closed.
